numeric_id,chart_id,url,filename
187,DYNMiNWd,https://www.tradingview.com/x/DYNMiNWd/,187_DYNMiNWd.png
188,7tqt7kMA,https://www.tradingview.com/x/7tqt7kMA/,188_7tqt7kMA.png
189,kiZCxRQf,https://www.tradingview.com/x/kiZCxRQf/,189_kiZCxRQf.png
190,lSrJwTJ4,https://www.tradingview.com/x/lSrJwTJ4/,190_lSrJwTJ4.png
191,PSfCKACe,https://www.tradingview.com/x/PSfCKACe/,191_PSfCKACe.png
192,36fe1mHR,https://www.tradingview.com/x/36fe1mHR/,192_36fe1mHR.png
193,W3TtZxmo,https://www.tradingview.com/x/W3TtZxmo/,193_W3TtZxmo.png
194,Ol70w2sQ,https://www.tradingview.com/x/Ol70w2sQ/,194_Ol70w2sQ.png
195,gTTGIYBb,https://www.tradingview.com/x/gTTGIYBb/,195_gTTGIYBb.png
196,cxgXGTqp,https://www.tradingview.com/x/cxgXGTqp/,196_cxgXGTqp.png
197,4lSvQ6aB,https://www.tradingview.com/x/4lSvQ6aB/,197_4lSvQ6aB.png
198,nIJ3n3YB,https://www.tradingview.com/x/nIJ3n3YB/,198_nIJ3n3YB.png
199,EpqZDeCV,https://www.tradingview.com/x/EpqZDeCV/,199_EpqZDeCV.png
200,COiT4Ba7,https://www.tradingview.com/x/COiT4Ba7/,200_COiT4Ba7.png
201,zCUl83IO,https://www.tradingview.com/x/zCUl83IO/,201_zCUl83IO.png
202,4YRyEVc4,https://www.tradingview.com/x/4YRyEVc4/,202_4YRyEVc4.png
203,3Aq4N4Pz,https://www.tradingview.com/x/3Aq4N4Pz/,203_3Aq4N4Pz.png
204,wSNxTrvT,https://www.tradingview.com/x/wSNxTrvT/,204_wSNxTrvT.png
205,1gdEuk00,https://www.tradingview.com/x/1gdEuk00/,205_1gdEuk00.png
206,15tRH7FY,https://www.tradingview.com/x/15tRH7FY/,206_15tRH7FY.png
207,3F5WKJkJ,https://www.tradingview.com/x/3F5WKJkJ/,207_3F5WKJkJ.png
208,9mDhJwNv,https://www.tradingview.com/x/9mDhJwNv/,208_9mDhJwNv.png
209,Oui94wST,https://www.tradingview.com/x/Oui94wST/,209_Oui94wST.png
210,VMkeSLci,https://www.tradingview.com/x/VMkeSLci/,210_VMkeSLci.png
211,y2QDP5JE,https://www.tradingview.com/x/y2QDP5JE/,211_y2QDP5JE.png
212,DaHaUZN4,https://www.tradingview.com/x/DaHaUZN4/,212_DaHaUZN4.png
213,YMhCzM7J,https://www.tradingview.com/x/YMhCzM7J/,213_YMhCzM7J.png
214,6tgRrO9t,https://www.tradingview.com/x/6tgRrO9t/,214_6tgRrO9t.png
215,79ugVNWL,https://www.tradingview.com/x/79ugVNWL/,215_79ugVNWL.png
216,NmwrO4tn,https://www.tradingview.com/x/NmwrO4tn/,216_NmwrO4tn.png
217,Hb3JAR26,https://www.tradingview.com/x/Hb3JAR26/,217_Hb3JAR26.png
218,PdhEPDhS,https://www.tradingview.com/x/PdhEPDhS/,218_PdhEPDhS.png
219,rsIMRrKb,https://www.tradingview.com/x/rsIMRrKb/,219_rsIMRrKb.png
220,P83cN8QZ,https://www.tradingview.com/x/P83cN8QZ/,220_P83cN8QZ.png
221,9kBHOxKt,https://www.tradingview.com/x/9kBHOxKt/,221_9kBHOxKt.png
222,P0n8EQj4,https://www.tradingview.com/x/P0n8EQj4/,222_P0n8EQj4.png
223,b5rRnjLX,https://www.tradingview.com/x/b5rRnjLX/,223_b5rRnjLX.png
224,YEaGFWC2,https://www.tradingview.com/x/YEaGFWC2/,224_YEaGFWC2.png
225,wv9w1kg9,https://www.tradingview.com/x/wv9w1kg9/,225_wv9w1kg9.png
226,eXXBjXC1,https://www.tradingview.com/x/eXXBjXC1/,226_eXXBjXC1.png
227,vl2iQ5OK,https://www.tradingview.com/x/vl2iQ5OK/,227_vl2iQ5OK.png
228,PORUw2BN,https://www.tradingview.com/x/PORUw2BN/,228_PORUw2BN.png
229,DgnH4lsa,https://www.tradingview.com/x/DgnH4lsa/,229_DgnH4lsa.png
230,50mmCgvS,https://www.tradingview.com/x/50mmCgvS/,230_50mmCgvS.png
231,e8HUAAvk,https://www.tradingview.com/x/e8HUAAvk/,231_e8HUAAvk.png
232,tKSslDaQ,https://www.tradingview.com/x/tKSslDaQ/,232_tKSslDaQ.png
233,Inv4MyDQ,https://www.tradingview.com/x/Inv4MyDQ/,233_Inv4MyDQ.png
235,wWr999ee,https://www.tradingview.com/x/wWr999ee/,235_wWr999ee.png
236,syVWQnxu,https://www.tradingview.com/x/syVWQnxu/,236_syVWQnxu.png
237,tnOCifcF,https://www.tradingview.com/x/tnOCifcF/,237_tnOCifcF.png
238,0PBrsnrd,https://www.tradingview.com/x/0PBrsnrd/,238_0PBrsnrd.png
239,VV2ionGP,https://www.tradingview.com/x/VV2ionGP/,239_VV2ionGP.png
240,gbL77pJL,https://www.tradingview.com/x/gbL77pJL/,240_gbL77pJL.png
241,PGJJ1sLC,https://www.tradingview.com/x/PGJJ1sLC/,241_PGJJ1sLC.png
242,Mg5rzavQ,https://www.tradingview.com/x/Mg5rzavQ/,242_Mg5rzavQ.png
243,alYSqnRJ,https://www.tradingview.com/x/alYSqnRJ/,243_alYSqnRJ.png
244,jzHMFhrl,https://www.tradingview.com/x/jzHMFhrl/,244_jzHMFhrl.png
245,7cOsrFpu,https://www.tradingview.com/x/7cOsrFpu/,245_7cOsrFpu.png
246,6JeUv196,https://www.tradingview.com/x/6JeUv196/,246_6JeUv196.png
247,YBMK1hId,https://www.tradingview.com/x/YBMK1hId/,247_YBMK1hId.png
248,wyWOQLrM,https://www.tradingview.com/x/wyWOQLrM/,248_wyWOQLrM.png
249,d3lD1uuU,https://www.tradingview.com/x/d3lD1uuU/,249_d3lD1uuU.png
253,nduTW65u,https://www.tradingview.com/x/nduTW65u/,253_nduTW65u.png
254,9EE9LRB1,https://www.tradingview.com/x/9EE9LRB1/,254_9EE9LRB1.png
255,5Cobu34s,https://www.tradingview.com/x/5Cobu34s/,255_5Cobu34s.png
256,d6faCsDl,https://www.tradingview.com/x/d6faCsDl/,256_d6faCsDl.png
257,K8yG1MXe,https://www.tradingview.com/x/K8yG1MXe/,257_K8yG1MXe.png
258,XuOlCEtE,https://www.tradingview.com/x/XuOlCEtE/,258_XuOlCEtE.png
259,610kwBUg,https://www.tradingview.com/x/610kwBUg/,259_610kwBUg.png
260,5sWXQErn,https://www.tradingview.com/x/5sWXQErn/,260_5sWXQErn.png
261,h2aCgayH,https://www.tradingview.com/x/h2aCgayH/,261_h2aCgayH.png
262,5KsXeeMB,https://www.tradingview.com/x/5KsXeeMB/,262_5KsXeeMB.png
263,TEX4Kmwn,https://www.tradingview.com/x/TEX4Kmwn/,263_TEX4Kmwn.png
264,p0ehFcwx,https://www.tradingview.com/x/p0ehFcwx/,264_p0ehFcwx.png
265,abiYW1rG,https://www.tradingview.com/x/abiYW1rG/,265_abiYW1rG.png
266,ynFUb5kG,https://www.tradingview.com/x/ynFUb5kG/,266_ynFUb5kG.png
267,Ooou2Z0l,https://www.tradingview.com/x/Ooou2Z0l/,267_Ooou2Z0l.png
268,j8xhGv5w,https://www.tradingview.com/x/j8xhGv5w/,268_j8xhGv5w.png
269,His7Ao7V,https://www.tradingview.com/x/His7Ao7V/,269_His7Ao7V.png
270,LOIwZkgh,https://www.tradingview.com/x/LOIwZkgh/,270_LOIwZkgh.png
271,hD7K6sCK,https://www.tradingview.com/x/hD7K6sCK/,271_hD7K6sCK.png
272,GVH5rHl0,https://www.tradingview.com/x/GVH5rHl0/,272_GVH5rHl0.png
273,gKI1XXne,https://www.tradingview.com/x/gKI1XXne/,273_gKI1XXne.png
274,cR4D9VGg,https://www.tradingview.com/x/cR4D9VGg/,274_cR4D9VGg.png
